Brand,Model_Year,Fuel_Type,Transmission,Kilometers_Driven,Mileage_kmpl,Engine_CC,Owner_Type,Seats,Price_Lakh
Honda,2016,Petrol,Automatic,167007,11.1,2773,Third,6,8.73
Hyundai,2008,CNG,Manual,77534,19.3,2858,Third,4,7.04
Hyundai,2017,Petrol,Automatic,167696,20.0,1748,Third,4,5.38
Mahindra,2019,Electric,Automatic,18440,15.7,2855,Third,7,11.82
Hyundai,2015,CNG,Automatic,116001,24.3,2879,Second,5,5.66
Hyundai,2014,CNG,Automatic,51501,23.1,2807,First,7,7.19
Toyota,2007,CNG,Manual,137341,20.6,2541,Third,6,8.42
Mahindra,2018,Diesel,Manual,12868,20.7,1186,First,4,11.89
Toyota,2020,Diesel,Manual,166323,13.8,2051,Second,6,11.9
Toyota,2014,Petrol,Manual,82909,19.9,2590,First,4,13.13
Mahindra,2014,CNG,Automatic,89523,13.0,2298,First,5,8.96
Maruti,2016,Electric,Manual,174801,12.2,1006,Third,6,2.98
Toyota,2013,Diesel,Manual,20734,25.0,2618,Third,4,14.43
Honda,2005,Electric,Manual,178501,19.3,2580,Second,7,7.67
Honda,2009,Electric,Manual,177409,16.5,1592,First,7,6.92
Hyundai,2012,Diesel,Automatic,176397,14.3,2524,Third,7,2.72
Honda,2015,Diesel,Manual,88600,19.1,1805,Third,6,10.0
Hyundai,2016,Diesel,Automatic,198586,10.7,1741,Third,4,3.69
Maruti,2005,Diesel,Manual,13433,11.4,1965,Second,4,2.23
Mahindra,2015,CNG,Automatic,145183,10.5,2477,First,4,7.34
Mahindra,2009,CNG,Automatic,108986,17.5,1248,Third,6,6.19
Mahindra,2019,CNG,Manual,68753,19.0,1391,First,4,8.95
Honda,2009,CNG,Manual,118783,10.9,881,Second,5,5.85
Maruti,2016,Petrol,Manual,26751,20.8,2982,First,6,4.96
Honda,2009,CNG,Manual,152525,13.5,2206,Third,5,7.89
Honda,2021,Diesel,Automatic,175040,20.3,2280,First,5,10.96
Maruti,2021,Electric,Automatic,166149,24.7,1879,First,7,4.16
Maruti,2016,CNG,Manual,170847,20.4,1218,Second,6,3.35
Maruti,2019,Petrol,Manual,194216,23.2,887,Second,4,1.53
Maruti,2019,Diesel,Automatic,53570,24.2,1014,First,5,5.82
Mahindra,2010,Electric,Manual,182169,17.3,2558,First,6,5.96
Tata,2016,Electric,Automatic,29503,20.5,2320,First,4,8.33
Tata,2022,CNG,Manual,138851,22.8,2517,Second,7,8.34
Maruti,2018,Electric,Automatic,91840,15.3,2301,Second,6,4.83
Tata,2006,CNG,Automatic,136827,13.9,1108,First,6,3.2
Tata,2013,CNG,Automatic,44263,24.2,1030,Second,6,7.43
Maruti,2009,Diesel,Automatic,113491,20.9,954,Third,4,0.77
Tata,2005,Diesel,Automatic,60087,13.3,1998,Second,5,4.18
Honda,2007,Petrol,Manual,178353,16.7,914,Second,5,5.4
Hyundai,2010,Diesel,Automatic,56482,21.9,2213,Second,6,3.49
Hyundai,2009,Diesel,Manual,190929,18.2,1110,Third,6,1.3
Maruti,2009,CNG,Automatic,127989,19.7,1792,Third,4,3.14
Mahindra,2005,Diesel,Automatic,153472,21.3,1841,Third,7,3.7
Maruti,2021,CNG,Manual,45115,19.3,811,First,6,5.87
Mahindra,2023,CNG,Manual,19249,18.1,2227,First,6,13.82
Hyundai,2018,Diesel,Manual,182897,21.2,2813,Third,7,6.25
Maruti,2016,Petrol,Manual,115361,20.9,1529,First,6,3.78
Toyota,2014,Petrol,Automatic,29600,19.4,2101,First,5,12.73
Honda,2022,Electric,Manual,42706,15.4,2176,First,6,12.25
Tata,2015,Electric,Automatic,24222,16.1,2836,Third,5,9.78
Mahindra,2006,Diesel,Manual,104041,24.6,1340,Second,4,3.95
Toyota,2022,Petrol,Manual,109504,11.7,876,Third,4,10.55
Tata,2011,CNG,Automatic,46139,14.0,823,Third,5,7.04
Tata,2019,Electric,Automatic,119919,17.4,1838,First,5,8.16
Maruti,2015,CNG,Manual,46302,22.6,1475,First,7,5.63
Tata,2022,Electric,Automatic,92838,12.5,971,Second,5,7.78
Honda,2016,Diesel,Automatic,144718,14.2,2692,Second,5,10.53
Toyota,2010,Petrol,Automatic,149615,11.0,1288,Second,6,8.1
Tata,2017,Electric,Automatic,158857,20.6,2285,Second,7,6.42
Maruti,2020,Petrol,Automatic,83353,13.6,1556,Third,5,6.55
Honda,2022,CNG,Automatic,167478,15.8,954,Second,5,9.86
Hyundai,2014,Diesel,Automatic,93992,16.7,1056,Third,5,3.97
Toyota,2012,Petrol,Automatic,56428,23.4,2579,First,6,10.67
Tata,2022,Diesel,Manual,28777,16.2,1473,Second,6,10.56
Maruti,2005,Petrol,Automatic,62939,12.2,2915,First,6,3.63
Hyundai,2012,CNG,Manual,189098,17.9,1472,First,4,1.71
Hyundai,2010,CNG,Automatic,91450,24.4,2272,Third,6,5.18
Mahindra,2009,Diesel,Automatic,165625,19.1,1058,Second,5,3.79
Honda,2019,CNG,Automatic,28548,24.8,1106,Third,6,12.76
Tata,2019,Electric,Automatic,199293,22.6,1918,First,6,6.28
Maruti,2006,Petrol,Manual,173337,10.5,1045,Second,7,-0.56
Mahindra,2005,CNG,Manual,130549,19.9,2458,First,5,4.66
Honda,2015,Electric,Automatic,176773,14.3,986,First,6,8.11
Mahindra,2014,Diesel,Manual,187359,18.4,2597,Second,4,6.43
Toyota,2022,Electric,Automatic,142799,14.2,1724,Second,7,12.21
Honda,2022,Diesel,Automatic,186789,15.2,1584,Second,6,8.61
Honda,2021,Diesel,Manual,168499,23.8,2395,Third,7,10.07
Tata,2012,Petrol,Manual,152764,13.1,2160,Third,7,4.75
Honda,2019,Petrol,Automatic,36625,23.1,1140,First,4,12.19
Mahindra,2012,Electric,Automatic,29918,10.5,1362,Second,4,9.19
Honda,2021,Petrol,Manual,177208,11.4,1450,First,4,9.31
Tata,2016,Petrol,Automatic,119826,22.8,1993,First,5,6.83
Tata,2012,Petrol,Manual,119881,19.5,868,First,7,6.58
Toyota,2018,Electric,Automatic,188481,21.2,2383,First,6,11.17
Mahindra,2008,CNG,Automatic,20577,13.1,2904,First,4,8.27
Hyundai,2005,Petrol,Manual,90155,18.1,2100,Second,4,1.2
Hyundai,2005,Petrol,Manual,116776,21.1,1922,Third,7,1.35
Honda,2023,Electric,Manual,104246,19.4,1715,Second,7,11.29
Toyota,2020,CNG,Automatic,163761,17.1,1260,Second,7,13.21
Maruti,2018,Petrol,Automatic,147226,24.4,1643,Second,6,2.92
Honda,2020,Diesel,Automatic,99948,20.1,1373,Third,5,11.15
Toyota,2009,Electric,Automatic,26341,23.6,918,Third,5,10.78
Mahindra,2013,Petrol,Manual,102554,20.9,1445,Third,4,8.61
Mahindra,2006,Petrol,Automatic,112798,21.0,2278,Second,5,5.87
Mahindra,2022,Diesel,Automatic,51330,11.2,2873,Third,6,11.86
Mahindra,2010,Diesel,Automatic,92759,15.4,2313,First,5,6.92
Mahindra,2013,Electric,Manual,91807,22.9,2831,Third,6,9.19
Toyota,2005,Electric,Automatic,38313,13.5,1831,Second,4,9.01
Toyota,2013,Diesel,Automatic,51900,11.7,1768,Second,7,10.67
Tata,2020,Electric,Manual,83840,14.9,2810,First,6,9.06
Hyundai,2017,Diesel,Automatic,170767,13.3,2339,Third,7,3.73
Mahindra,2013,Petrol,Automatic,166297,23.9,2996,Third,4,9.32
Maruti,2017,Diesel,Manual,91072,23.0,2311,First,6,5.72
Toyota,2013,Diesel,Automatic,101367,17.5,1848,Second,6,12.47
Maruti,2015,CNG,Automatic,54156,10.9,1454,Second,5,5.07
Maruti,2008,Diesel,Automatic,92453,20.7,2754,Third,6,4.28
Maruti,2006,Diesel,Manual,163901,19.4,1354,Third,4,-0.03
Tata,2010,CNG,Automatic,30938,24.6,1224,Third,7,7.09
Toyota,2018,Electric,Automatic,64164,18.4,1092,Third,6,10.36
Maruti,2008,CNG,Manual,190602,15.0,2008,Third,4,-0.72
Mahindra,2010,Petrol,Manual,65282,17.8,1230,Second,4,7.22
Honda,2023,CNG,Automatic,52801,24.7,1116,Second,6,12.8
Maruti,2010,Petrol,Automatic,145537,20.4,1197,Second,5,0.97
Tata,2006,Electric,Automatic,8326,20.1,2147,Second,6,6.8
Toyota,2022,CNG,Automatic,139731,13.6,2388,First,6,13.71
Tata,2017,CNG,Manual,196361,21.2,1395,Second,5,6.15
Maruti,2013,Electric,Automatic,163666,21.3,2923,First,4,3.63
Toyota,2023,Petrol,Manual,120819,14.8,2743,Second,6,15.38
Honda,2017,CNG,Manual,9763,17.3,1715,Third,5,13.49
Maruti,2015,Petrol,Automatic,146900,14.4,2055,Third,7,3.38
Tata,2005,CNG,Automatic,52588,13.9,1775,Third,7,6.95
Hyundai,2011,Diesel,Manual,16221,10.4,1875,First,5,7.33
Mahindra,2019,CNG,Manual,147283,14.3,2044,Second,4,8.08
Tata,2005,Electric,Automatic,18569,18.3,2251,Second,5,6.32
Toyota,2016,Electric,Manual,42860,10.0,1966,First,4,11.17
Maruti,2011,Petrol,Automatic,50337,14.2,2828,First,7,2.88
Mahindra,2019,CNG,Automatic,188383,23.2,1162,First,6,6.86
Maruti,2023,Petrol,Manual,149587,18.9,1033,First,5,3.86
Toyota,2005,Petrol,Manual,76695,19.1,2531,First,7,9.0
Maruti,2021,Diesel,Automatic,111749,16.1,826,Third,6,5.05
Hyundai,2021,Diesel,Manual,160976,20.1,2294,Second,7,7.64
Mahindra,2007,Electric,Automatic,196007,12.8,892,First,5,4.57
Mahindra,2016,Petrol,Automatic,48790,22.3,1108,Third,5,9.62
Toyota,2010,Electric,Automatic,73580,11.8,851,First,6,8.62
Hyundai,2015,CNG,Manual,10636,19.8,1118,Third,5,6.12
Tata,2007,Petrol,Automatic,82129,15.1,2792,First,7,6.33
Maruti,2012,Petrol,Automatic,138964,21.2,980,Second,6,0.78
Honda,2018,CNG,Automatic,26672,18.2,2392,First,6,11.51
Maruti,2018,CNG,Automatic,10812,16.8,1446,First,7,6.83
Maruti,2014,Electric,Automatic,5654,12.5,2761,Second,4,6.25
Tata,2006,Electric,Automatic,59633,19.6,2083,Second,6,5.06
Maruti,2018,CNG,Automatic,22143,24.6,2824,First,4,8.33
Hyundai,2013,Electric,Automatic,60934,22.4,1135,Second,7,6.18
Hyundai,2007,CNG,Automatic,72334,10.9,2376,Second,7,5.84
Mahindra,2012,Petrol,Automatic,108463,15.6,2325,Third,6,7.14
Toyota,2020,Petrol,Automatic,130851,23.9,1789,Second,5,12.74
Honda,2006,Diesel,Manual,34087,17.5,2078,Second,6,8.8
Maruti,2010,Petrol,Automatic,147690,19.9,1313,First,5,1.43
Maruti,2016,CNG,Automatic,13446,23.7,2829,First,4,5.66
Tata,2009,Electric,Automatic,107127,23.1,1041,Third,5,2.99
Toyota,2006,Diesel,Manual,53867,17.5,2996,First,6,10.58
Hyundai,2020,Electric,Automatic,187100,16.6,2533,Second,5,4.94
Honda,2009,CNG,Manual,65101,15.1,1467,Second,7,9.51
Mahindra,2019,Petrol,Automatic,163272,20.8,1393,Second,4,6.55
Hyundai,2016,Diesel,Automatic,93074,14.3,2978,First,7,5.4
Toyota,2008,CNG,Manual,197537,13.7,1055,Second,7,6.38
Mahindra,2019,Diesel,Automatic,123422,15.3,2302,Second,7,8.04
Tata,2015,Diesel,Manual,92892,12.7,1360,Third,7,8.41
Tata,2020,Petrol,Manual,125044,20.4,2910,Third,5,8.64
Maruti,2010,CNG,Automatic,44148,19.2,2134,Third,7,3.22
Toyota,2018,Electric,Automatic,87928,17.2,1206,First,5,12.57
Honda,2022,Diesel,Automatic,156770,15.9,2660,Second,7,12.48
Mahindra,2016,Diesel,Automatic,178542,23.6,2862,Second,6,8.23
Hyundai,2015,Electric,Manual,56660,10.4,2510,Second,7,6.81
Toyota,2017,CNG,Manual,189982,21.5,1058,Third,6,8.66
Toyota,2015,Diesel,Automatic,40450,23.5,1522,Second,5,13.04
Tata,2020,Diesel,Manual,192535,16.7,2082,Second,4,8.23
Maruti,2019,Diesel,Manual,38757,18.3,1413,Second,5,5.84
Maruti,2019,CNG,Automatic,83012,24.2,2494,Second,4,5.19
Mahindra,2008,CNG,Manual,111750,13.2,2778,Second,4,7.07
Tata,2015,Electric,Manual,132043,17.8,1612,First,7,6.15
Toyota,2023,CNG,Automatic,167462,17.1,2586,Second,4,11.9
Honda,2019,CNG,Manual,61116,13.9,1130,First,5,10.88
Tata,2008,Petrol,Automatic,149233,22.3,2016,Second,7,5.82
Mahindra,2017,Electric,Manual,37152,23.5,2344,First,4,9.38
Mahindra,2023,Diesel,Automatic,111379,21.7,2197,Second,5,10.24
Tata,2006,CNG,Manual,25836,12.9,1186,Second,4,4.28
Mahindra,2018,Diesel,Manual,191720,11.3,2318,Second,4,7.06
Tata,2008,Diesel,Automatic,162403,19.1,2617,Second,7,3.8
Hyundai,2020,Petrol,Automatic,146835,10.9,2617,Third,7,7.11
Tata,2018,CNG,Automatic,74444,20.1,2614,Second,5,10.31
Tata,2019,Electric,Automatic,98109,18.0,2315,First,7,8.79
Mahindra,2007,CNG,Manual,155259,19.9,2040,Third,7,4.44
Mahindra,2012,Diesel,Manual,148029,18.9,1119,Third,6,7.57
Maruti,2020,Electric,Manual,140451,16.3,1198,Second,6,2.08
Maruti,2014,CNG,Automatic,164031,13.0,2714,First,5,3.76
Hyundai,2008,Diesel,Manual,87018,14.6,904,First,7,1.86
Maruti,2022,Diesel,Manual,128076,17.9,1495,Third,5,5.18
Tata,2006,Petrol,Automatic,163177,19.8,1129,First,6,3.0
Mahindra,2021,Petrol,Automatic,136949,21.7,1459,Second,6,7.62
Maruti,2017,Petrol,Manual,184425,21.5,1620,Second,6,2.85
Maruti,2008,Diesel,Automatic,88788,24.6,2772,Second,5,3.06
Hyundai,2015,CNG,Manual,101870,14.3,2593,Second,7,7.5
Toyota,2011,Petrol,Manual,88308,11.1,1261,Second,4,12.76
Hyundai,2016,CNG,Automatic,187639,15.2,2407,Third,7,2.92
Tata,2014,Petrol,Manual,62913,21.1,2475,Second,5,9.34
Mahindra,2011,Electric,Automatic,7637,16.6,2874,Second,6,9.91
Hyundai,2017,Electric,Automatic,47025,22.3,1070,Third,4,5.71
Maruti,2011,Petrol,Manual,104508,18.2,1184,Third,5,2.53
Mahindra,2021,Diesel,Manual,87464,23.9,859,Third,6,8.44
Mahindra,2014,Petrol,Manual,33742,24.2,1930,First,5,8.33
Maruti,2014,Petrol,Automatic,16831,11.0,1019,First,4,2.94
Hyundai,2008,Diesel,Manual,118768,16.8,2264,Second,6,3.88
Maruti,2008,Electric,Automatic,90092,19.1,2706,Second,7,3.09
Toyota,2011,CNG,Automatic,95879,13.8,2395,Second,5,9.98
Mahindra,2005,Petrol,Manual,93370,16.1,895,First,4,6.37
Honda,2016,Diesel,Automatic,131537,20.2,1788,Second,7,8.94
Honda,2017,Petrol,Manual,182834,13.4,1912,Second,4,10.26
Tata,2014,Diesel,Manual,109824,19.0,2745,First,5,7.32
Maruti,2019,CNG,Manual,93741,20.5,1767,Third,4,4.56
Maruti,2017,CNG,Manual,23830,11.4,1045,First,6,5.34
Tata,2013,Electric,Manual,60044,17.5,2958,Second,4,6.81
Tata,2013,Diesel,Manual,78948,13.9,1033,First,5,6.36
Tata,2019,Diesel,Manual,74202,20.9,1951,Third,6,8.81
Mahindra,2014,Electric,Automatic,42045,12.8,2060,Third,4,10.03
Toyota,2014,Electric,Manual,112509,23.4,1602,Third,4,11.61
Maruti,2012,Diesel,Automatic,162699,16.5,2217,Third,6,2.24
Mahindra,2020,Electric,Automatic,20198,13.0,1454,Third,7,9.78
Tata,2021,CNG,Automatic,74521,16.6,910,Third,7,9.47
Maruti,2009,Petrol,Manual,111471,16.1,889,Second,6,1.2
Mahindra,2008,CNG,Automatic,34475,16.4,1562,Second,4,5.57
Toyota,2022,Electric,Automatic,24403,18.8,2103,First,7,15.6
Mahindra,2023,Diesel,Manual,8681,17.8,2156,Second,6,13.34
Toyota,2008,Diesel,Manual,96555,12.2,2979,Third,5,9.99
Tata,2011,CNG,Automatic,123884,11.0,1836,Second,4,5.09
Toyota,2014,Diesel,Manual,98122,20.9,2264,First,5,10.95
Maruti,2022,Electric,Manual,120260,18.4,897,Third,4,5.33
Tata,2023,CNG,Manual,178364,15.4,1943,Second,7,8.03
Maruti,2008,Diesel,Manual,110386,22.1,1092,Second,5,0.16
Honda,2014,Petrol,Automatic,141701,15.8,2639,First,5,11.1
Hyundai,2005,Petrol,Manual,98246,21.9,2534,Third,6,2.4
Toyota,2022,Electric,Manual,100864,14.6,1824,First,7,10.84
Hyundai,2009,Diesel,Manual,13417,11.1,1451,Third,7,4.62
Hyundai,2019,Electric,Automatic,123888,24.0,2996,Third,4,8.15
Toyota,2021,CNG,Automatic,170837,15.9,2891,Second,6,12.49
Tata,2007,Petrol,Manual,79499,21.9,2706,First,6,4.04
Honda,2016,CNG,Manual,135908,14.2,2521,First,4,9.07
Maruti,2006,Diesel,Automatic,192646,19.7,1867,First,5,-1.64
Mahindra,2005,Electric,Manual,32675,23.1,2616,Third,4,6.86
Maruti,2021,Electric,Manual,176635,10.6,1052,First,4,3.35
Mahindra,2020,Electric,Automatic,16332,22.5,931,Third,4,11.41
Maruti,2009,CNG,Manual,24177,18.6,2707,First,6,4.51
Toyota,2019,Petrol,Manual,135560,19.1,2710,First,4,12.83
Honda,2007,CNG,Automatic,62104,17.8,2479,Second,4,10.62
Mahindra,2011,CNG,Automatic,89335,23.1,1932,First,4,8.42
Tata,2015,Diesel,Manual,119938,10.7,1858,Second,7,7.36
Maruti,2014,Diesel,Automatic,85730,13.9,2725,Second,5,2.85
Maruti,2013,Diesel,Manual,141023,23.1,986,Third,5,1.12
Mahindra,2018,Petrol,Manual,33333,21.3,1748,First,5,9.03
Tata,2017,Petrol,Manual,26673,10.3,1063,First,5,7.65
Tata,2006,Diesel,Automatic,119421,17.8,2797,First,6,5.44
Toyota,2007,Diesel,Automatic,45870,17.9,1321,Second,6,9.35
Toyota,2011,Petrol,Manual,132536,16.0,2364,First,4,11.11
Toyota,2022,Electric,Manual,76101,14.5,1582,Third,6,14.54
Toyota,2007,Petrol,Automatic,27821,20.2,1334,Third,5,10.16
Toyota,2014,Petrol,Automatic,30494,13.1,1009,First,7,12.99
Toyota,2011,Petrol,Automatic,104477,22.0,2893,Second,4,12.39
Honda,2013,Diesel,Manual,131083,22.0,2363,Third,4,9.62
Tata,2021,Electric,Automatic,117698,16.2,825,Third,5,7.84
Toyota,2015,Petrol,Automatic,116560,14.3,974,Second,5,11.08
Tata,2011,Diesel,Manual,136907,14.3,2339,Third,5,4.03
Tata,2018,CNG,Manual,23646,17.2,2134,Second,6,9.52
Hyundai,2023,CNG,Manual,128777,20.8,1121,Third,4,6.7
Honda,2008,Petrol,Automatic,82360,15.4,2402,Second,5,8.31
Toyota,2010,CNG,Manual,42335,19.2,1958,Third,7,10.43
Maruti,2014,Electric,Manual,74351,15.7,854,First,4,4.39
Mahindra,2011,CNG,Manual,119934,14.6,2366,Third,4,7.46
Maruti,2017,CNG,Manual,138501,10.4,2409,Third,6,4.52
Honda,2018,Electric,Automatic,46950,10.1,2672,First,4,14.02
Mahindra,2008,Petrol,Manual,65654,13.4,2994,First,5,7.79
Honda,2012,Petrol,Automatic,112422,16.1,2308,First,5,8.81
Tata,2009,Electric,Automatic,114934,22.8,2867,First,7,7.06
Mahindra,2005,Electric,Automatic,124975,22.0,1132,Second,4,2.92
Tata,2008,Electric,Manual,96186,14.0,2378,Second,4,5.43
Maruti,2007,CNG,Automatic,109234,13.7,1706,Third,6,0.54
Maruti,2013,Electric,Manual,107326,13.4,1710,Third,5,3.41
Mahindra,2012,Diesel,Manual,82527,15.1,1200,Third,7,7.98
Mahindra,2005,CNG,Manual,91704,17.5,1749,Second,5,6.19
Toyota,2010,Petrol,Automatic,167171,16.6,2129,Third,4,9.89
Honda,2013,Petrol,Manual,175457,13.3,2875,Third,4,8.44
Toyota,2011,Petrol,Manual,171991,12.0,2710,Second,7,9.34
Honda,2008,CNG,Manual,101952,10.2,900,Third,4,7.61
Toyota,2017,Diesel,Automatic,65782,12.3,1350,Second,7,13.25
Tata,2021,Electric,Automatic,76116,20.6,2505,Second,7,8.48
Mahindra,2006,Electric,Automatic,94626,13.7,1152,First,5,5.64
Maruti,2009,Petrol,Manual,176459,17.0,1818,First,7,0.23
Honda,2016,Petrol,Automatic,151895,18.9,1979,Second,4,9.43
Honda,2012,CNG,Manual,51015,23.3,1897,Second,6,9.74
Maruti,2010,Diesel,Manual,107877,23.3,1779,First,6,1.54
Toyota,2012,Electric,Automatic,20339,21.2,2155,Third,4,11.4
Honda,2022,CNG,Manual,139563,10.5,1538,Third,6,10.89
Tata,2007,Electric,Automatic,136778,18.6,1776,Third,6,4.14
Mahindra,2016,Petrol,Manual,102493,21.8,2171,Second,7,8.38
Maruti,2007,Electric,Automatic,151800,10.3,2601,First,6,2.33
Mahindra,2010,Diesel,Manual,143069,18.2,2949,Third,6,9.46
Honda,2006,Diesel,Manual,196480,22.9,1752,First,6,5.69
Honda,2016,Petrol,Manual,194169,17.1,1280,First,5,7.9
Maruti,2006,Diesel,Manual,134526,10.1,2037,Second,4,-0.17
Tata,2010,Diesel,Manual,174595,10.2,907,Third,7,3.6
Hyundai,2021,CNG,Automatic,126648,16.2,1772,First,6,8.16
Maruti,2007,Electric,Manual,30163,12.3,2426,Second,4,5.39
Hyundai,2006,Petrol,Automatic,153790,20.0,1503,Second,6,2.82
Toyota,2012,Petrol,Automatic,92508,20.6,2933,Second,5,12.44
Hyundai,2016,Petrol,Automatic,44619,12.7,1674,Third,5,7.16
Tata,2008,Petrol,Manual,17126,23.3,2247,Third,6,5.81
Toyota,2009,Petrol,Manual,69926,16.6,2907,Second,6,11.03
Hyundai,2017,Diesel,Manual,45633,12.1,2073,Third,6,7.13
Toyota,2019,CNG,Automatic,8317,21.5,1359,Third,5,14.03
Hyundai,2020,Petrol,Manual,49980,21.8,916,First,5,6.51
Tata,2014,CNG,Manual,49115,19.6,1673,Second,4,8.31
Hyundai,2020,CNG,Automatic,197718,22.8,1767,Second,7,4.69
Hyundai,2016,Diesel,Automatic,48158,21.1,2368,Third,7,6.88
Hyundai,2021,Petrol,Automatic,192035,23.2,843,Second,5,3.92
